Name,Link
各級學校概況,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B010100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=1111&codlst0=11111111111&codlst1=111&dfknd=1212
社區大學概況,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B010200&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=1111&codlst0=1&codlst1=1&dfknd=1212
各級學校校數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B020100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111111&codlst0=1111111111111111111111111&codlst1=111&dfknd=1212
高級中等以下學校班級數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B080100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111&codlst0=1111111111111111111111111&codlst1=111&dfknd=1212
各級學校學生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111111111111111&codlst0=111&codlst1=111&dfknd=1212
各級學校學生數-按縣市別分,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030200&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111111111111111&codlst0=1111111111111111111111111&codlst1=111&dfknd=1212
大專校院學生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030300&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111&codlst0=1111111111111111111111111111111&codlst1=111&dfknd=1212
原住民學生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030400&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111111&codlst0=1111111111111111111111111&codlst1=111&dfknd=1212
新住民子女學生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030500&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111&codlst0=111&codlst1=1&dfknd=1212
大專校院境外生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030600&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111&codlst0=1&codlst1=1&dfknd=1212
學生數最新預測情形,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030700&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111111111&codlst0=1&codlst1=1&dfknd=1212
大專校院,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030801&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111&codlst0=1&codlst1=1&dfknd=1212
高級中等學校,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030802&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111&codlst0=1&codlst1=1&dfknd=1212
國中小,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B030803&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=1111&codlst0=1&codlst1=1&dfknd=1212
各級學校教師數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B040100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111111&codlst0=111&codlst1=111&dfknd=1212
各級學校教師數-按縣市別分,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B040200&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111111&codlst0=1111111111111111111111111&codlst1=111&dfknd=1212
各級學校職員數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B040300&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111111&codlst0=111&codlst1=111&dfknd=1212
大專校院專任教師數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B040400&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111111111111&codlst0=1111111111111111111111111111111&codlst1=1&dfknd=1212
高級中等以下學校教師數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B040500&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11&codlst0=1111&codlst1=111&dfknd=1212
各級學校畢業生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B050100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111111111111111&codlst0=111&codlst1=111&dfknd=1212
各級學校畢業生數-按縣市別分,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B050200&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111111111111111&codlst0=1111111111111111111111111&codlst1=111&dfknd=1212
原住民畢業生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B050300&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111111&codlst0=111&codlst1=111&dfknd=1212
大專校院畢業生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B050400&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111&codlst0=1111111111111111111111111111111&codlst1=111&dfknd=1212
粗在學率,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B060100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111&codlst0=111&codlst1=1&dfknd=1212
中等以下教育總淨在學率,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B060200&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111&codlst0=111&codlst1=1&dfknd=1212
高等教育淨在學率,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B060400&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111111&codlst0=111&codlst1=1&dfknd=1212
國際比較,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B060300&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111111&codlst0=1111111&codlst1=1&dfknd=1212
各級學校生師比,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B070100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111&codlst0=111&codlst1=1&dfknd=1212
國際比較,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B070200&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=1111&codlst0=11111&codlst1=1&dfknd=1212
高級中等以下學校班生數,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B080200&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111&codlst0=111&codlst1=1&dfknd=1212
國際比較,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B080300&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11&codlst0=11111&codlst1=1&dfknd=1212
預算經費,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B100100&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=111111111&codlst0=1&codlst1=1&dfknd=1212
校地校舍,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B100200&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11&codlst0=11111&codlst1=1&dfknd=1212
圖書館,https://eds.moe.gov.tw/edust/webMain.aspx?sys=100&funid=eduout&funid2=B100300&cycle=4&outkind=1&outmode=8&defmk=1&outkind=1&fldlst=11111&codlst0=11111&codlst1=1&dfknd=1212
